S. No.,State/ UT,Fine - Total Acc. - 2014,Fine - Persons Killed - 2014,Fine - Persons Injured - 2014,Mist/fog - Total Acc. - 2014,Mist/fog - Persons Killed - 2014,Mist/fog - Persons Injured - 2014,Cloudy - Total Acc. - 2014,Cloudy - Persons Killed - 2014,Cloudy - Persons Injured - 2014,Light rain - Total Acc. - 2014,Light rain - Persons Killed - 2014,Light rain - Persons Injured - 2014,Heavy rain - Total Acc. - 2014,Heavy rain - Persons Killed - 2014,Heavy rain - Persons Injured - 2014,Flooding of slipways/rivulers - Total Acc. - 2014,Flooding of slipways/rivulers - Persons Killed - 2014,Flooding of slipways/rivulers - Persons Injured - 2014,Hail/sleet - Total Acc. - 2014,Hail/sleet - Persons Killed - 2014,Hail/sleet - Persons Injured - 2014,snow - Total Acc. - 2014,snow - Persons Killed - 2014,snow - Persons Injured - 2014,Strong wind - Total Acc. - 2014,Strong wind - Persons Killed - 2014,Strong wind - Persons Injured - 2014,Dust storm - Total Acc. - 2014,Dust storm - Persons Killed - 2014,Dust storm - Persons Injured - 2014,Very hot - Total Acc. - 2014,Very hot - Persons Killed - 2014,Very hot - Persons Injured - 2014,Very cold - Total Acc. - 2014,Very cold - Persons Killed - 2014,Very cold - Persons Injured - 2014,Other extraordinary weather condition - Total Acc. - 2014,Other extraordinary weather condition - Persons Killed - 2014,Other extraordinary weather condition - Persons Injured - 2014,Fine/Clear - Total Accidents - 2016,Fine/Clear - Persons Killed - 2016,Fine/Clear - Persons Injured - 2016,Mist/ Foggy - Total Accidents - 2016,Mist/ Foggy - Persons Killed - 2016,Mist/ Foggy - Persons Injured - 2016,Cloudy - Total Accidents - 2016,Cloudy - Persons Killed - 2016,Cloudy - Persons Injured - 2016,Rainy - Total Accidents - 2016,Rainy - Persons Killed - 2016,Rainy - Persons Injured - 2016,Snowfall - Total Accidents - 2016,Snowfall - Persons Killed - 2016,Snowfall - Persons Injured - 2016,Hail/Sleet - Total Accidents - 2016,Hail/Sleet - Persons Killed - 2016,Hail/Sleet - Persons Injured - 2016,Dust Storm - Total Accidents - 2016,Dust Storm - Persons Killed - 2016,Dust Storm - Persons Injured - 2016,Others - Total Accidents - 2016,Others - Persons Killed - 2016,Others - Persons Injured - 2016
1,Andhra Pradesh,14591,4586,17065,724,219,925,647,188,916,1104,368,1440,695,231,856,139,78,158,33,6,39,556,124,718,350,117,639,170,41,210,1264,467,1342,576,213,602,3591,1270,5021,18383,6311,22027,1051,311,1204,1025,321,1366,1456,433,1848,0,0,0,92,45,137,42,34,61,2839,1086,3408
2,Arunachal Pradesh,71,30,110,14,10,26,11,8,24,17,9,32,10,8,30,0,0,0,0,0,0,3,2,3,15,12,18,12,9,15,23,15,15,21,13,20,8,3,15,101,59,149,31,19,39,31,23,65,30,19,34,0,0,0,12,7,13,0,0,0,44,22,91
3,Assam,3575,1318,3216,494,150,368,285,100,290,320,104,277,189,64,197,17,5,14,3,0,3,6,3,0,107,44,73,17,12,7,170,51,197,72,13,92,1889,658,1765,3786,1337,3117,491,168,468,391,120,274,528,162,492,0,0,0,15,8,5,36,14,19,2188,763,1752
4,Bihar,2343,1218,1626,1713,881,1081,438,203,316,721,344,481,609,328,423,228,122,140,85,44,51,31,17,13,382,174,313,352,146,273,959,484,734,762,413,530,933,539,659,2543,1554,1795,1769,1013,1175,569,311,411,939,530,624,0,0,0,0,0,0,582,318,399,1820,1175,1247
5,Chhattisgarh,5000,1354,4584,382,149,376,863,216,789,1810,478,1670,718,194,725,107,41,127,84,25,67,85,43,79,177,68,197,198,72,207,1186,360,1051,791,232,710,2420,790,2575,7237,2078,7173,288,85,250,672,148,489,1279,307,1099,0,0,0,0,0,0,132,28,151,3972,1262,3793
6,Goa,3556,257,1585,0,0,0,27,6,17,417,19,195,222,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,3775,298,1683,0,0,0,0,0,0,529,38,343,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,15008,4876,14431,643,176,639,1066,387,915,1520,564,1273,815,276,834,116,30,141,31,17,39,84,42,70,277,120,298,441,158,365,1255,449,1085,932,325,916,1524,535,1487,15591,5538,14143,1059,371,910,924,374,839,759,319,786,0,0,0,64,23,51,302,115,296,3160,1396,2924
8,Haryana,5519,2043,5261,724,263,716,310,160,194,511,191,442,300,143,162,242,136,122,240,135,87,0,0,0,246,135,46,264,176,130,393,196,271,446,240,351,1481,665,1162,4602,2010,4573,2983,1245,2119,787,280,751,1656,820,1883,0,0,0,70,75,175,243,150,363,893,444,667
9,Himachal Pradesh,2070,736,3635,90,45,232,195,96,482,134,54,221,86,27,138,0,0,0,0,0,0,31,15,68,0,0,0,0,0,0,126,56,242,129,54,187,197,116,371,2835,1116,5207,31,19,37,163,66,284,136,69,226,3,1,10,0,0,0,0,0,0,0,0,0
10,Jammu & Kashmir,5290,816,7297,16,7,19,79,26,51,66,21,45,90,32,58,0,0,0,0,0,0,100,27,52,0,0,0,0,0,0,0,0,0,0,0,0,220,63,521,4092,729,5593,0,0,0,71,7,90,77,13,84,23,1,24,0,0,0,0,0,0,1238,208,1901
11,Jharkhand,1249,751,988,478,199,330,510,218,403,484,235,389,488,252,400,18,8,20,48,28,20,2,0,18,145,54,112,195,92,230,392,180,275,354,183,309,838,428,862,1617,752,905,367,201,280,765,305,494,859,454,586,0,0,0,160,236,417,247,108,368,917,971,743
12,Karnataka,27346,6533,34052,1236,245,1899,1696,392,3091,2726,639,3396,1827,464,2338,61,1,49,10,2,12,172,42,214,143,53,196,263,46,309,1521,418,2891,1026,303,1305,5686,1314,7079,28269,7298,34077,1222,268,1700,1592,349,1929,3475,872,4076,0,0,0,47,5,42,580,151,691,9218,2190,12041
13,Kerala,28138,3257,31627,477,28,561,1239,90,1655,3489,388,4020,2903,286,3196,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30689,3448,33945,500,30,602,1329,95,1816,6902,714,7745,0,0,0,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,39335,6262,41623,2228,215,920,1436,342,2203,2655,337,2562,1086,266,1267,0,0,0,214,25,184,21,0,37,44,20,98,235,88,209,912,217,860,720,133,702,4586,664,4670,40433,7046,41257,1307,297,1962,1710,325,2570,3931,726,4129,0,0,0,426,86,639,429,68,751,5736,1098,6565
15,Maharashtra,55186,11099,36257,290,79,253,755,161,845,1465,303,998,359,77,303,24,4,32,0,0,0,0,0,0,16,5,18,320,101,255,434,132,238,262,88,232,2516,754,1024,35350,11584,32150,591,161,421,1505,455,1191,1958,616,1602,0,0,0,0,0,0,474,119,520,0,0,0
16,Manipur,228,72,379,38,6,66,33,5,61,90,13,160,96,19,156,17,4,25,18,2,28,7,1,15,46,6,75,29,2,47,55,14,99,20,6,51,66,18,133,318,61,541,43,5,79,83,8,162,81,7,148,0,0,0,10,0,20,3,0,5,0,0,0
17,Meghalaya,43,7,33,44,12,28,57,19,28,27,8,12,98,41,41,42,10,21,0,0,0,28,9,16,13,4,7,0,0,0,0,0,0,25,3,16,165,28,109,344,73,236,3,3,0,4,4,0,64,17,34,0,0,0,0,0,0,0,0,0,205,53,84
18,Mizoram,88,76,174,14,10,20,0,0,0,30,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,69,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,251,63,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,58,47,26,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,47
20,Orissa,3713,1592,3930,670,259,749,691,300,861,1101,396,1273,836,341,983,114,26,131,47,22,66,31,12,35,139,61,184,184,77,242,525,215,617,442,159,557,1155,471,1459,4831,2092,5143,876,330,1000,921,350,1019,1637,688,1621,1,0,0,47,27,42,249,95,318,1970,881,2169
21,Punjab,3631,2707,2188,891,605,636,246,163,167,281,192,211,199,150,113,59,38,39,9,2,6,0,0,0,56,44,81,84,50,106,394,260,262,374,257,232,167,153,86,5069,3810,2879,825,602,660,566,350,452,402,264,278,0,0,0,0,0,0,69,39,59,21,12,23
22,Rajasthan,21567,8866,23996,611,328,496,240,77,291,290,126,409,30,20,59,0,0,0,0,0,0,0,0,3,59,17,41,59,32,75,390,173,412,300,182,394,1082,468,1277,20911,9418,21841,430,207,335,101,40,116,475,196,545,0,0,0,28,24,31,8,4,5,1113,576,1230
23,Sikkim,58,17,98,47,12,54,0,0,0,0,0,0,26,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,23,169,89,38,102,25,9,31,28,12,65,19,13,35,6,7,18,9,0,0,0,0,0,34,6,12
24,Tamil Nadu,42716,10753,51344,1857,256,1786,2479,415,2600,2909,649,3139,2383,494,2620,77,8,99,39,7,49,834,101,924,420,58,456,1464,205,1343,2784,578,4801,2268,518,2647,7020,1148,5917,64808,15918,74994,1811,321,1786,1645,326,1663,2893,583,3380,0,0,0,0,0,0,0,0,0,274,70,340
25,Telangana,10845,3622,11037,287,148,267,470,139,522,913,355,925,677,290,710,452,120,525,211,56,296,861,281,995,449,139,557,210,60,325,777,232,832,694,212,669,3232,1252,3976,19574,6269,20614,165,50,202,251,58,286,237,55,260,0,0,0,0,0,0,4,2,12,2580,785,2843
26,Tripura,551,139,913,39,15,115,43,13,62,29,5,62,15,4,14,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,8,2,17,5,2,11,24,8,26,482,150,723,9,2,45,11,2,23,30,8,32,0,0,0,0,0,0,0,0,0,25,11,30
27,Uttarakhand,1081,702,1226,95,48,91,33,18,25,37,26,37,18,8,13,2,1,2,0,0,0,0,0,0,5,4,2,0,0,0,21,12,28,59,30,40,59,29,67,1203,691,1352,129,83,83,1,0,1,75,60,47,10,7,6,32,21,18,9,5,13,132,95,215
28,Uttar Pradesh,11484,5865,7475,1454,860,964,1341,723,919,2311,1205,2031,2064,1113,1727,364,204,330,188,116,242,160,79,114,942,514,769,610,301,657,1716,840,1178,1736,992,1448,6664,3475,4483,14110,7453,9423,3664,2160,2933,2107,1323,1715,3168,1796,2448,0,0,0,199,146,276,1521,759,1227,10843,5683,7074
29,West Bengal,4513,2187,5164,1533,650,942,538,213,534,1152,506,1093,1193,652,1091,81,35,100,159,64,177,33,15,59,192,63,42,196,90,309,616,256,547,356,152,349,2313,992,1611,8423,3734,6597,2061,1255,2168,627,262,551,2267,1178,2014,0,0,0,6,6,8,196,109,521,0,0,0
30,A & N Islands,168,20,209,0,0,0,0,0,0,36,2,54,14,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,15,249,0,0,0,0,0,0,63,2,74,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,369,131,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,151,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D & N Haveli,47,34,50,0,0,0,0,0,0,25,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,4,10,4,5,2,20,14,55,6,3,9,4,2,4,15,7,12,0,0,0,0,0,0,0,0,0,25,20,50
33,Daman & Diu,38,14,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,33,72,3,0,10,0,0,0,7,4,14,0,0,0,0,0,0,0,0,0,3,1,6
34,Delhi,NA,1656,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3879,880,3917,425,94,414,142,34,137,449,118,371,0,0,0,171,23,165,122,27,114,2187,415,2036
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,453,68,528,1,0,1,42,9,35,128,10,122,61,15,60,0,0,0,12,0,13,82,11,92,95,0,105,0,0,0,120,16,248,103,7,119,14,15,0,1413,183,1365,75,4,60,51,9,62,198,34,264,0,0,0,1,0,2,3,2,2,25,12,31
Total,Total,310121,83727,312657,17090,5886,14560,15770,4687,18296,26799,7578,27039,18107,5814,18645,2197,871,2117,1431,551,1379,3127,824,3525,4319,1713,4327,5303,1758,5314,16047,5626,18246,12483,4734,12500,47983,15902,46586,345568,102237,358367,22241,9317,20982,18076,5959,18825,36594,11122,37134,43,16,58,1389,732,2041,5251,2147,5895,51490,19255,51322
